"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","s-43","s-53","s-83","s-93"
"1","MOB3C",9393.76177945249,5.19693871896149,0.199108026023453,26.1011011095521,3.54235948042353e-150,5.47294539725435e-146,458.858833891544,17001.327451787,537.327125305361,19577.5337068261
"2","NFIL3",2958.33919709127,5.32626147995259,0.221974741602437,23.9948988858024,3.14356829615475e-127,2.42840650877954e-123,128.586160745039,5301.24758993804,158.182212146023,6245.34082553596
"3","ENPP1",1725.61600308862,5.80292807119254,0.245791396751395,23.6091586112832,3.10361981894936e-123,1.59836420675892e-119,52.8436277034408,3653.14208716467,67.7044487784533,3128.77384870792
"4","PALLD",2798.89664487355,6.61204841911941,0.284267745742923,23.2599319414135,1.1286764371748e-119,4.35951273858768e-116,39.6327207775806,4784.43212551304,72.0129137007185,6299.50881950287
"5","FCER2",16802.9948703833,4.27593530724922,0.187468720524156,22.8087933565335,3.75057057121112e-115,1.15892630650424e-111,1778.18807222078,31463.5180566163,1522.11910753741,32448.1542451588
"6","QSOX1",9795.11058797088,4.67090688663186,0.219321830482317,21.2970449697594,1.20912221944089e-100,3.11348971506029e-97,812.030412376207,16218.3260959859,669.043052928897,21481.0427905925
"7","CABLES1",972.569292433849,-5.48696159670848,0.262337221068645,-20.9156808719595,3.85487031296617e-97,8.50824947647534e-94,1874.18732921537,38.8907958179348,1931.4232751526,45.775769549494
"8","LMO2",2851.1281626374,4.47790052177417,0.214730480330735,20.8535859225815,1.4141692898995e-96,2.73111444111841e-93,221.062509226061,5060.98889577391,267.740320169338,5854.72092538028
"9","DHRS9",897.46253391709,6.79337564460909,0.329863294779585,20.5945182508058,3.07328633153303e-94,5.27580820246504e-91,17.6145425678136,1541.80399420435,14.7718797334807,2015.65971916272
"10","ZBTB8A",987.659235126483,5.78553219306208,0.282653781772099,20.4686176735003,4.1008814370876e-93,6.33586182030034e-90,31.7061766220645,1696.50293756902,38.1606893114918,2184.26713700336
"11","CISH",5635.80111701703,6.49340320142437,0.320838312115225,20.2388647372398,4.45308813297821e-91,6.25456469586484e-88,174.383971421355,9536.0231345576,75.0903886451936,12757.706973444
"12","GAS6",1237.92242233782,7.78003741979352,0.395745113666443,19.6592128395829,4.82149929066671e-86,6.20768033673339e-83,16.7338154394229,1877.99331805272,6.77044487784533,3050.19211098128
"13","HOMER2",2977.02244773386,3.89729683880117,0.203545337521015,19.1470700644214,1.02387670324857e-81,1.21683808193773e-78,350.52939709949,5907.94400469782,397.609762826189,5252.00662631195
