sample,group,replicate,timepoint
s-37,Control,C_1,1
s-38,Control,C_1,3
s-39,Control,C_1,9
s-42,LPS,LPS_1,1
s-43,LPS,LPS_1,3
s-44,LPS,LPS_1,9
s-47,TGF,TGF_1,1
s-48,TGF,TGF_1,3
s-49,TGF,TGF_1,9
s-52,IgM,IgM_1,1
s-53,IgM,IgM_1,3
s-54,IgM,IgM_1,9
s-77,Control,C_2,1
s-78,Control,C_2,3
s-79,Control,C_2,9
s-82,LPS,LPS_2,1
s-83,LPS,LPS_2,3
s-84,LPS,LPS_2,9
s-87,TGF,TGF_2,1
s-88,TGF,TGF_2,3
s-89,TGF,TGF_2,9
s-92,IgM,IgM_2,1
s-93,IgM,IgM_2,3
s-94,IgM,IgM_2,9
