"ancestor","term_id","term_name","p_value","term_size","group_name","-log10(padj)","group_color","ancestor_name"
"GO:0002252","GO:0002228","natural killer cell mediated immunity",0.03209393663645,74,"C4",0.295628133713702,"#A6CEE3","immune effector process"
"GO:0002252","GO:0002715","regulation of natural killer cell mediated immunity",0.00866675574680344,48,"C4",0.454230709419908,"#A6CEE3","immune effector process"
"GO:0002682","GO:0002683","negative regulation of immune system process",0.0156678366984123,430,"C6",0.373627199474503,"#B2DF8A","regulation of immune system process"
"GO:0006955","GO:0098542","defense response to other organism",0.0160174418799882,1163,"C4",0.373627199474503,"#1F78B4","immune response"
